	a	c	d	e	f	g	h	i	l	m	n	o	p	r	s	t	u	R-Letters	N-Zero	0	_	=	<	>	;	,	.	:	+	-	*	/	(	)	[	]	{	}	EOL	Space	Tab	Final[token]	Backtrack
1	2	29	73	18	22	34	73	10	73	73	5	8	37	86	73	14	73	73	75	76	85	46	48	51	53	54	55	59	56	57	58	61	67	68	69	70	71	72	1	1	1		
2	73	73	73	73	73	73	73	73	73	73	3	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
3	73	73	4	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[AND]	No
5	73	73	73	73	73	73	73	73	73	73	73	6	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
6	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	7	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[NOT]	No
8	73	73	73	73	73	73	73	73	73	73	73	73	73	9	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[OR]	No
10	73	73	73	73	11	73	73	73	73	73	12	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[IF]	No
12	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	13	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[INTDC]	No
14	73	73	73	73	73	73	15	73	73	73	73	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
15	73	73	73	16	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
16	73	73	73	73	73	73	73	73	73	73	17	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[THEN]	No
18	73	73	73	73	73	73	73	73	19	73	73	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
19	73	73	73	73	73	73	73	73	73	73	73	73	73	73	20	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
20	73	73	73	21	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[ELSE]	No
22	73	73	73	73	73	73	73	73	25	73	73	23	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
23	73	73	73	73	73	73	73	73	73	73	73	73	73	24	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[FOR]	No
25	73	73	73	73	73	73	73	73	73	73	73	26	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
26	27	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
27	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	28	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[FLOATDC]	No
29	73	73	73	73	73	73	73	73	30	73	73	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
30	31	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
31	73	73	73	73	73	73	73	73	73	73	73	73	73	73	32	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
32	73	73	73	73	73	73	73	73	73	73	73	73	73	73	33	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[CLASS]	No
34	73	73	73	35	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
35	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	36	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[GET]	No
37	73	73	73	73	73	73	73	73	73	73	73	73	73	40	73	73	38	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
38	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	39	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[PUT]	No
40	73	73	73	73	73	73	73	73	73	73	73	41	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
41	73	73	73	73	73	42	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
42	73	73	73	73	73	73	73	73	73	73	73	73	73	43	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
43	44	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
44	73	73	73	73	73	73	73	73	73	45	73	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[PROGRAM]	No
46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[EQUALS]	No
47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[COMPARISON]	No
48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	49	1	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[LT]	No
49	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[LTE]	No
50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[DNE]	No
51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[GT]	No
52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[GTE]	No
53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[SCOL]	No
54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[COMA]	No
55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[PER]	No
56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[PLUS]	No
57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[MINUS]	No
58	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[MULT]	No
59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	60	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[COL]	No
60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[DCOL]	No
61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	64	62	1	1	1	1	1	1	1	1	1	yes[SLASH]	No
62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	63	62	62		
63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[SCOMM]	No
64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	65	64	64	64	64	64	64	64	64	64	64		
65	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	66	64	64	64	64	64	64	64	64	64		
66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[COMM]	No
67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[OBR]	No
68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[CBR]	No
69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[OSBR]	No
70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[CSBR]	No
71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[OCBR]	No
72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[CCBR]	No
73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
74	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[ID]	No
75	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	75	75	76	76	76	76	76	76	77	76	76	76	76	76	76	76	76	76	76	76	76	76	76		
76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	85	1	1	1	1	1	1	1	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[INT]	No
77	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	79	78	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85		
78	84	84	84	81	84	84	84	84	84	84	84	84	84	84	84	84	84	84	79	79	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84		
79	84	84	84	81	84	84	84	84	84	84	84	84	84	84	84	84	84	84	80	79	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84		
80	84	84	84	81	84	84	84	84	84	84	84	84	84	84	84	84	84	84	80	79	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84		
81	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	82	82	85	85	85	85	85	85	85	85	85	85	85		
82	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	83	84	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85		
83	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	83	83	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84		
84	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[FLOAT]	No
85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[ERR]	No
86	73	73	73	87	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
87	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	88	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
88	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	89	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
89	73	73	73	73	73	73	73	73	73	73	73	73	73	90	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
90	73	73	73	73	73	73	73	73	73	73	91	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74		
91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	yes[RETURN]	No
